Type,Nom,Pays,Note,Nb_votes,image
Série,Unrequited Love (Un amour non pa...,Chine Continentale , 8.4 ,5119,https://6.vikiplatform.com/image/6fa20ba71dc84cc6b919bbd39fa6ca47.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,A Girl Like Me,Chine Continentale , 9.2 ,2370,https://6.vikiplatform.com/image/17679f4d8ed14335800b9b466164d460.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Rencontre fortuite,La Thaïlande , 9.5 ,19046,https://6.vikiplatform.com/image/a623d779854044389a85c9d93f6ad92a.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,The Fox's Summer,Chine Continentale , 9.1 ,33543,https://6.vikiplatform.com/image/4a0573575ee2407099bdf46d1cdf5fd9.jpeg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Arsenal Military Academy,Chine Continentale , 9.5 ,15278,https://6.vikiplatform.com/image/26778f13304c424aad0c09d64b787e65.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À cause de toi 2020,Taïwan , 9.2 ,28202,https://6.vikiplatform.com/image/e0342b9c40d246f7b86557800c8e27d2.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Oh ! Ma Douce Menteuse !,Chine Continentale , 9.3 ,4172,https://6.vikiplatform.com/image/6a09f7a094fa4c539822e062860e9746.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Sois mon chat,Chine Continentale , 9.4 ,1705,https://6.vikiplatform.com/image/11601db3612a4dee918b349ac9d7b7f0.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Revenge Note 1,Corée , 9.3 ,36257,https://6.vikiplatform.com/image/58e7f7c48a794992811b1e97f3a453cb.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Il est psychométrique,Corée , 9.6 ,41920,https://6.vikiplatform.com/image/1639514b030f416790310c38e58daf27.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Un amour bien intentionné Saison 2,Chine Continentale , 9.2 ,14562,https://6.vikiplatform.com/image/de4946b62413443e918bbb962a9cc129.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,My Girl,Chine Continentale , 9.3 ,31613,https://6.vikiplatform.com/image/9684bd3228bd42108bee9ad99d7cfc5b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Un petit ami absolu,Corée , 9.2 ,23425,https://6.vikiplatform.com/image/7036fb3816b241ae8da079f623a766f0.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,La Dernière Impératrice,Corée , 9.3 ,13142,https://6.vikiplatform.com/image/007bba757fc54bc58afade55f108d582.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Juste une question de goût,Corée , 9.3 ,76148,https://6.vikiplatform.com/image/6078877c44ad4481bfa87e0de51ab148.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Tes yeux ont perdu le sourire,Corée , 9.3 ,24523,https://6.vikiplatform.com/image/ae17998ca9ec411294be5ebb9daad823.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,L'Épouse du Dieu de l'eau,Corée , 9.2 ,39137,https://6.vikiplatform.com/image/683950b85f114be89712a8a97186691c.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,"Le seul amour dont je rêve, c'es...",Chine Continentale , 9.1 ,23239,https://6.vikiplatform.com/image/5674cebf56fd4a71984c2377ff935961.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
